#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a Zipf workload with alpha=1, accessing 1200 logical pages.
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# Zipf workload generator in C:
#  http://www.csee.usf.edu/~christen/tools/genzipf.c
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
W 1 377 <0,6,5> 
W 1 378 <0,6,6> 
W 1 379 <0,6,7> 
W 1 380 <0,6,8> 
W 1 381 <0,6,9> 
W 1 382 <0,6,10> 
W 1 383 <0,6,11> 
W 1 384 <0,6,12> 
W 1 385 <0,6,13> 
W 1 386 <0,6,14> 
W 1 387 <0,6,15> 
W 1 388 <0,6,16> 
W 1 389 <0,6,17> 
W 1 390 <0,6,18> 
W 1 391 <0,6,19> 
W 1 392 <0,6,20> 
W 1 393 <0,6,21> 
W 1 394 <0,6,22> 
W 1 395 <0,6,23> 
W 1 396 <0,6,24> 
W 1 397 <0,6,25> 
W 1 398 <0,6,26> 
W 1 399 <0,6,27> 
W 1 400 <0,6,28> 
W 1 401 <0,6,29> 
W 1 402 <0,6,30> 
S <0,6> Used 
S <1,6> Active1 
W 1 403 <1,6,0> 
W 1 404 <1,6,1> 
W 1 405 <1,6,2> 
W 1 406 <1,6,3> 
W 1 407 <1,6,4> 
W 1 408 <1,6,5> 
W 1 409 <1,6,6> 
W 1 410 <1,6,7> 
W 1 411 <1,6,8> 
W 1 412 <1,6,9> 
W 1 413 <1,6,10> 
W 1 414 <1,6,11> 
W 1 415 <1,6,12> 
W 1 416 <1,6,13> 
W 1 417 <1,6,14> 
W 1 418 <1,6,15> 
W 1 419 <1,6,16> 
W 1 420 <1,6,17> 
W 1 421 <1,6,18> 
W 1 422 <1,6,19> 
W 1 423 <1,6,20> 
W 1 424 <1,6,21> 
W 1 425 <1,6,22> 
W 1 426 <1,6,23> 
W 1 427 <1,6,24> 
W 1 428 <1,6,25> 
W 1 429 <1,6,26> 
W 1 430 <1,6,27> 
W 1 431 <1,6,28> 
W 1 432 <1,6,29> 
W 1 433 <1,6,30> 
S <1,6> Used 
S <0,7> Active1 
W 1 434 <0,7,0> 
W 1 435 <0,7,1> 
W 1 436 <0,7,2> 
W 1 437 <0,7,3> 
W 1 438 <0,7,4> 
W 1 439 <0,7,5> 
W 1 440 <0,7,6> 
W 1 441 <0,7,7> 
W 1 442 <0,7,8> 
W 1 443 <0,7,9> 
W 1 444 <0,7,10> 
W 1 445 <0,7,11> 
W 1 446 <0,7,12> 
W 1 447 <0,7,13> 
W 1 448 <0,7,14> 
W 1 449 <0,7,15> 
W 1 450 <0,7,16> 
W 1 451 <0,7,17> 
W 1 452 <0,7,18> 
W 1 453 <0,7,19> 
W 1 454 <0,7,20> 
W 1 455 <0,7,21> 
W 1 456 <0,7,22> 
W 1 457 <0,7,23> 
W 1 458 <0,7,24> 
W 1 459 <0,7,25> 
W 1 460 <0,7,26> 
W 1 461 <0,7,27> 
W 1 462 <0,7,28> 
W 1 463 <0,7,29> 
W 1 464 <0,7,30> 
S <0,7> Used 
S <1,7> Active1 
W 1 465 <1,7,0> 
W 1 466 <1,7,1> 
W 1 467 <1,7,2> 
W 1 468 <1,7,3> 
W 1 469 <1,7,4> 
W 1 470 <1,7,5> 
W 1 471 <1,7,6> 
W 1 472 <1,7,7> 
W 1 473 <1,7,8> 
W 1 474 <1,7,9> 
W 1 475 <1,7,10> 
W 1 476 <1,7,11> 
W 1 477 <1,7,12> 
W 1 478 <1,7,13> 
W 1 479 <1,7,14> 
W 1 480 <1,7,15> 
W 1 481 <1,7,16> 
W 1 482 <1,7,17> 
W 1 483 <1,7,18> 
W 1 484 <1,7,19> 
W 1 485 <1,7,20> 
W 1 486 <1,7,21> 
W 1 487 <1,7,22> 
W 1 488 <1,7,23> 
W 1 489 <1,7,24> 
W 1 490 <1,7,25> 
W 1 491 <1,7,26> 
W 1 492 <1,7,27> 
W 1 493 <1,7,28> 
W 1 494 <1,7,29> 
W 1 495 <1,7,30> 
S <1,7> Used 
S <0,8> Active1 
W 1 496 <0,8,0> 
W 1 497 <0,8,1> 
W 1 498 <0,8,2> 
W 1 499 <0,8,3> 
W 1 500 <0,8,4> 
W 1 501 <0,8,5> 
W 1 502 <0,8,6> 
W 1 503 <0,8,7> 
W 1 504 <0,8,8> 
W 1 505 <0,8,9> 
W 1 506 <0,8,10> 
W 1 507 <0,8,11> 
W 1 508 <0,8,12> 
W 1 509 <0,8,13> 
W 1 510 <0,8,14> 
W 1 511 <0,8,15> 
W 1 512 <0,8,16> 
W 1 513 <0,8,17> 
W 1 514 <0,8,18> 
W 1 515 <0,8,19> 
W 1 516 <0,8,20> 
W 1 517 <0,8,21> 
W 1 518 <0,8,22> 
W 1 519 <0,8,23> 
W 1 520 <0,8,24> 
W 1 521 <0,8,25> 
W 1 522 <0,8,26> 
W 1 523 <0,8,27> 
W 1 524 <0,8,28> 
W 1 525 <0,8,29> 
W 1 526 <0,8,30> 
S <0,8> Used 
S <1,8> Active1 
W 1 527 <1,8,0> 
W 1 528 <1,8,1> 
W 1 529 <1,8,2> 
W 1 530 <1,8,3> 
W 1 531 <1,8,4> 
W 1 532 <1,8,5> 
W 1 533 <1,8,6> 
W 1 534 <1,8,7> 
W 1 535 <1,8,8> 
W 1 536 <1,8,9> 
W 1 537 <1,8,10> 
W 1 538 <1,8,11> 
W 1 539 <1,8,12> 
W 1 540 <1,8,13> 
W 1 541 <1,8,14> 
W 1 542 <1,8,15> 
W 1 543 <1,8,16> 
W 1 544 <1,8,17> 
W 1 545 <1,8,18> 
W 1 546 <1,8,19> 
W 1 547 <1,8,20> 
W 1 548 <1,8,21> 
W 1 549 <1,8,22> 
W 1 550 <1,8,23> 
W 1 551 <1,8,24> 
W 1 552 <1,8,25> 
W 1 553 <1,8,26> 
W 1 554 <1,8,27> 
W 1 555 <1,8,28> 
W 1 556 <1,8,29> 
W 1 557 <1,8,30> 
S <1,8> Used 
S <0,9> Active1 
W 1 558 <0,9,0> 
W 1 559 <0,9,1> 
W 1 560 <0,9,2> 
W 1 561 <0,9,3> 
W 1 562 <0,9,4> 
W 1 563 <0,9,5> 
W 1 564 <0,9,6> 
W 1 565 <0,9,7> 
W 1 566 <0,9,8> 
W 1 567 <0,9,9> 
W 1 568 <0,9,10> 
W 1 569 <0,9,11> 
W 1 570 <0,9,12> 
W 1 571 <0,9,13> 
W 1 572 <0,9,14> 
W 1 573 <0,9,15> 
W 1 574 <0,9,16> 
W 1 575 <0,9,17> 
W 1 576 <0,9,18> 
W 1 577 <0,9,19> 
W 1 578 <0,9,20> 
W 1 579 <0,9,21> 
W 1 580 <0,9,22> 
W 1 581 <0,9,23> 
W 1 582 <0,9,24> 
W 1 583 <0,9,25> 
W 1 584 <0,9,26> 
W 1 585 <0,9,27> 
W 1 586 <0,9,28> 
W 1 587 <0,9,29> 
W 1 588 <0,9,30> 
S <0,9> Used 
S <1,9> Active1 
W 1 589 <1,9,0> 
W 1 590 <1,9,1> 
W 1 591 <1,9,2> 
W 1 592 <1,9,3> 
W 1 593 <1,9,4> 
W 1 594 <1,9,5> 
W 1 595 <1,9,6> 
W 1 596 <1,9,7> 
W 1 597 <1,9,8> 
W 1 598 <1,9,9> 
W 1 599 <1,9,10> 
W 1 600 <1,9,11> 
W 1 601 <1,9,12> 
W 1 602 <1,9,13> 
W 1 603 <1,9,14> 
W 1 604 <1,9,15> 
W 1 605 <1,9,16> 
W 1 606 <1,9,17> 
W 1 607 <1,9,18> 
W 1 608 <1,9,19> 
W 1 609 <1,9,20> 
W 1 610 <1,9,21> 
W 1 611 <1,9,22> 
W 1 612 <1,9,23> 
W 1 613 <1,9,24> 
W 1 614 <1,9,25> 
W 1 615 <1,9,26> 
W 1 616 <1,9,27> 
W 1 617 <1,9,28> 
W 1 618 <1,9,29> 
W 1 619 <1,9,30> 
S <1,9> Used 
S <0,10> Active1 
W 1 620 <0,10,0> 
W 1 621 <0,10,1> 
W 1 622 <0,10,2> 
W 1 623 <0,10,3> 
W 1 624 <0,10,4> 
W 1 625 <0,10,5> 
W 1 626 <0,10,6> 
W 1 627 <0,10,7> 
W 1 628 <0,10,8> 
W 1 629 <0,10,9> 
W 1 630 <0,10,10> 
W 1 631 <0,10,11> 
W 1 632 <0,10,12> 
W 1 633 <0,10,13> 
W 1 634 <0,10,14> 
W 1 635 <0,10,15> 
W 1 636 <0,10,16> 
W 1 637 <0,10,17> 
W 1 638 <0,10,18> 
W 1 639 <0,10,19> 
W 1 640 <0,10,20> 
W 1 641 <0,10,21> 
W 1 642 <0,10,22> 
W 1 643 <0,10,23> 
W 1 644 <0,10,24> 
W 1 645 <0,10,25> 
W 1 646 <0,10,26> 
W 1 647 <0,10,27> 
W 1 648 <0,10,28> 
W 1 649 <0,10,29> 
W 1 650 <0,10,30> 
S <0,10> Used 
S <1,10> Active1 
W 1 651 <1,10,0> 
W 1 652 <1,10,1> 
W 1 653 <1,10,2> 
W 1 654 <1,10,3> 
W 1 655 <1,10,4> 
W 1 656 <1,10,5> 
W 1 657 <1,10,6> 
W 1 658 <1,10,7> 
W 1 659 <1,10,8> 
W 1 660 <1,10,9> 
W 1 661 <1,10,10> 
W 1 662 <1,10,11> 
W 1 663 <1,10,12> 
W 1 664 <1,10,13> 
W 1 665 <1,10,14> 
W 1 666 <1,10,15> 
W 1 667 <1,10,16> 
W 1 668 <1,10,17> 
W 1 669 <1,10,18> 
W 1 670 <1,10,19> 
W 1 671 <1,10,20> 
W 1 672 <1,10,21> 
W 1 673 <1,10,22> 
W 1 674 <1,10,23> 
W 1 675 <1,10,24> 
W 1 676 <1,10,25> 
W 1 677 <1,10,26> 
W 1 678 <1,10,27> 
W 1 679 <1,10,28> 
W 1 680 <1,10,29> 
W 1 681 <1,10,30> 
S <1,10> Used 
S <0,11> Active1 
W 1 682 <0,11,0> 
W 1 683 <0,11,1> 
W 1 684 <0,11,2> 
W 1 685 <0,11,3> 
W 1 686 <0,11,4> 
W 1 687 <0,11,5> 
W 1 688 <0,11,6> 
W 1 689 <0,11,7> 
W 1 690 <0,11,8> 
W 1 691 <0,11,9> 
W 1 692 <0,11,10> 
W 1 693 <0,11,11> 
W 1 694 <0,11,12> 
W 1 695 <0,11,13> 
W 1 696 <0,11,14> 
W 1 697 <0,11,15> 
W 1 698 <0,11,16> 
W 1 699 <0,11,17> 
W 1 700 <0,11,18> 
W 1 701 <0,11,19> 
W 1 702 <0,11,20> 
W 1 703 <0,11,21> 
W 1 704 <0,11,22> 
W 1 705 <0,11,23> 
W 1 706 <0,11,24> 
W 1 707 <0,11,25> 
W 1 708 <0,11,26> 
W 1 709 <0,11,27> 
W 1 710 <0,11,28> 
W 1 711 <0,11,29> 
W 1 712 <0,11,30> 
S <0,11> Used 
S <1,11> Active1 
W 1 713 <1,11,0> 
W 1 714 <1,11,1> 
W 1 715 <1,11,2> 
W 1 716 <1,11,3> 
W 1 717 <1,11,4> 
W 1 718 <1,11,5> 
W 1 719 <1,11,6> 
W 1 720 <1,11,7> 
